L_space_fillings,name,census_knot,finite_fillings,longitude,non_L_space_fillings,thurston_norm,id
"[(0, -1), (-1, 1), (-1, 0), (-1, -4), (-5, 4), (-1, -1), (-2, 1), (-4, 3), (-3, 1), (-2, -3), (-4, 1), (-1, -3), (-2, -1), (-3, -1), (-5, 3)]",m003,False,"[(0, -1), (-1, 1), (-1, 0), (-1, -1), (-2, 1)]","(1, -2)","[(-2, 3), (1, -4), (1, -3), (-3, 4)]",1,1
"[(1, 0)]",m004,'K2_1',"[(1, 0)]","(0, 1)","[(5, -1), (5, -2), (3, 2), (1, 2), (7, 1), (5, 2), (6, 1), (3, -2), (6, -1), (7, -1), (5, 1), (1, -2)]",1,2
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (1, -1), (-1, -1), (3, -2), (-3, -1), (-2, -3), (-1, -3), (-2, -1), (1, -3), (1, -2), (-1, 0)]",m006,False,"[(0, -1), (1, -1), (-1, -1), (-1, 0)]","(3, -1)","[(5, -2), (-5, 1), (-4, 1)]",1,3
"[(-1, 0), (-3, -1), (-1, -1), (-2, -1), (3, -2), (-3, -2), (-5, -2), (-1, -2), (1, -2), (-5, -1), (-4, -1)]",m007,False,"[(-1, 0), (-1, -1), (-2, -1)]","(3, -1)","[(5, -2), (-5, 1), (-6, 1), (-4, 1)]",1,4
"[(1, 0)]",m009,False,"[(1, 0)]","(1, 1)","[(5, -1), (5, -2), (3, 2), (4, 1), (5, 2), (6, 1), (3, -2), (6, -1), (-1, -2), (5, 1), (1, -2), (4, -1)]",1,5
"[(2, -3), (-4, -1), (-3, -1), (0, -1), (-1, -3), (3, -4), (-1, -2), (1, -3), (1, -2), (-3, -2), (-1, 0)]",m010,False,"[(0, -1), (-1, 0)]","(2, -1)","[(4, -3), (-4, 1), (-5, 1), (5, -3), (-3, 1), (3, -2), (-5, 2)]",1,6
"[(0, -1), (3, 2), (3, 1), (4, 3), (1, -1), (2, -1), (2, -3), (3, -1), (2, 1), (3, -2), (1, -4), (1, -3), (1, 0), (4, 1), (1, 1)]",m011,False,"[(0, -1), (1, -1), (2, 1), (1, 0), (1, 1)]","(9, 13)","[(-1, -3), (-1, -4), (-1, -2), (-2, -3)]",9,7
"[(-1, 0)]",m015,'K3_2',"[(-1, 0)]","(2, -1)","[(-8, -1), (-5, 1), (-7, -1), (-6, 1), (-3, -2), (3, -2), (-3, 1), (-6, -1), (-4, 1), (-5, -2), (-1, -2), (1, -2), (-5, -1), (-3, -1), (-4, -1)]",1,8
"[(5, -1), (4, -3), (2, -3), (-4, -1), (-3, -2), (-1, -1), (3, -2), (-3, -1), (-1, -3), (3, -1), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -1), (4, -1), (0, -1)]",m016,'K3_1',"[(-1, -1), (1, 0), (1, -1), (0, -1)]","(18, 1)",[],9,9
"[(4, -3), (5, -1), (2, -3), (1, -1), (-1, -1), (3, -2), (-2, -3), (3, -1), (-1, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (0, -1)]",m017,False,"[(1, -1), (-1, -1), (1, 0), (0, -1)]","(2, 1)","[(-3, -2), (4, 1)]",1,10
