L_space_fillings,name,finite_fillings,longitude,non_L_space_fillings,id
"[(0, -1), (-1, 1), (-1, 0), (-1, -4), (-5, 4), (-1, -1), (-2, 1), (-4, 3), (-3, 1), (-2, -3), (-4, 1), (-1, -3), (-2, -1), (-3, -1), (-5, 3)]",m003,"[(0, -1), (-1, 1), (-1, 0), (-1, -1), (-2, 1)]","(1, -2)","[(-2, 3), (1, -4), (1, -3), (-3, 4)]",1
"[(1, 0)]",m004,"[(1, 0)]","(0, 1)","[(5, -1), (5, -2), (3, 2), (1, 2), (7, 1), (5, 2), (6, 1), (3, -2), (6, -1), (7, -1), (5, 1), (1, -2)]",2
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (1, -1), (-1, -1), (3, -2), (-3, -1), (-2, -3), (-1, -3), (-2, -1), (1, -3), (1, -2), (-1, 0)]",m006,"[(0, -1), (1, -1), (-1, -1), (-1, 0)]","(3, -1)","[(5, -2), (-5, 1), (-4, 1)]",3
"[(-1, 0), (-3, -1), (-1, -1), (-2, -1), (3, -2), (-3, -2), (-5, -2), (-1, -2), (1, -2), (-5, -1), (-4, -1)]",m007,"[(-1, 0), (-1, -1), (-2, -1)]","(3, -1)","[(5, -2), (-5, 1), (-6, 1), (-4, 1)]",4
"[(1, 0)]",m009,"[(1, 0)]","(1, 1)","[(5, -1), (5, -2), (3, 2), (4, 1), (5, 2), (6, 1), (3, -2), (6, -1), (-1, -2), (5, 1), (1, -2), (4, -1)]",5
"[(2, -3), (-4, -1), (-3, -1), (0, -1), (-1, -3), (3, -4), (-1, -2), (1, -3), (1, -2), (-3, -2), (-1, 0)]",m010,"[(0, -1), (-1, 0)]","(2, -1)","[(4, -3), (-4, 1), (-5, 1), (5, -3), (-3, 1), (3, -2), (-5, 2)]",6
"[(0, -1), (3, 2), (3, 1), (4, 3), (1, -1), (2, -1), (2, -3), (3, -1), (2, 1), (3, -2), (1, -4), (1, -3), (1, 0), (4, 1), (1, 1)]",m011,"[(0, -1), (1, -1), (2, 1), (1, 0), (1, 1)]","(9, 13)","[(-1, -3), (-1, -4), (-1, -2), (-2, -3)]",7
"[(-1, 0)]",m015,"[(-1, 0)]","(2, -1)","[(-8, -1), (-5, 1), (-7, -1), (-6, 1), (-3, -2), (3, -2), (-3, 1), (-6, -1), (-4, 1), (-5, -2), (-1, -2), (1, -2), (-5, -1), (-3, -1), (-4, -1)]",8
"[(5, -1), (4, -3), (2, -3), (-4, -1), (-3, -2), (-1, -1), (3, -2), (-3, -1), (-1, -3), (3, -1), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -1), (4, -1), (0, -1)]",m016,"[(-1, -1), (1, 0), (1, -1), (0, -1)]","(18, 1)",[],9
"[(4, -3), (5, -1), (2, -3), (1, -1), (-1, -1), (3, -2), (-2, -3), (3, -1), (-1, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (0, -1)]",m017,"[(1, -1), (-1, -1), (1, 0), (0, -1)]","(2, 1)","[(-3, -2), (4, 1)]",10
