manifold,arcs,roots_on_circle,alex_deg,monic
m016,4,8.0,10,True
m067,2,2.0,2,False
m071,17,16.0,22,True
m078,4,4.0,8,True
m082,12,12.0,16,True
m090,2,2.0,2,False
m103,24,22.0,30,True
m118,8,16.0,20,True
m144,8,16.0,22,True
m149,2,2.0,2,False
m175,4,4.0,8,True
m194,18,18.0,26,True
m198,21,18.0,26,True
m211,14,14.0,18,True
m223,4,10.0,12,True
m232,10,10.0,12,True
m239,8,16.0,22,True
m249,4,4.0,4,False
m281,12,24.0,32,True
m285,2,2.0,2,False
m294,2,3.0,3,True
m302,6,6.0,14,True
m307,2,2.0,2,False
m349,12,12.0,16,True
m376,4,4.0,6,True
s104,20,40.0,52,True
s120,8,8.0,14,True
s127,6,8.0,10,True
s129,10,10.0,14,True
s140,6,12.0,16,True
s161,10,10.0,18,True
s294,12,24.0,34,True
s336,12,24.0,34,True
s346,41,40.0,56,True
s384,11,12.0,14,True
s427,2,2.0,2,False
s432,2,2.0,6,True
s445,6,6.0,6,False
s453,2,2.0,2,False
s455,6,6.0,6,False
s460,16,16.0,18,True
s471,19,12.0,24,True
s490,9,8.0,20,True
s509,19,20.0,32,True
s525,15,12.0,26,True
s536,21,20.0,24,True
s572,4,4.0,4,False
s650,11,12.0,22,True
s652,10,14.0,18,True
s665,41,40.0,56,True
s668,6,12.0,16,True
s673,4,4.0,4,False
s686,8,8.0,20,True
s702,6,6.0,10,True
s709,6,12.0,24,True
s732,0,0.0,2,False
s738,18,36.0,48,True
s741,4,12.0,16,True
s773,0,3.0,3,False
s802,4,2.0,2,False
s847,2,2.0,6,True
s849,14,22.0,26,True
s855,4,4.0,10,True
s878,0,0.0,2,False
s901,8,10.0,14,True
s905,4,4.0,8,True
s917,6,12.0,18,True
s919,6,6.0,10,True
v0165,12,24.0,34,True
v0249,20,24.0,32,True
v0416,6,6.0,14,True
v0474,6,12.0,18,True
v0707,38,32.0,46,True
v0740,60,40.0,56,True
v0939,39,38.0,54,True
v1035,6,6.0,6,False
v1045,2,2.0,4,True
v1181,6,12.0,14,True
v1245,21,16.0,26,True
v1300,32,36.0,48,True
v1352,16,16.0,24,True
v1425,24,26.0,30,True
v1470,12,12.0,16,True
v1534,6,12.0,16,True
v1547,44,36.0,56,True
v1552,14,28.0,40,True
v1553,24,18.0,20,True
v1620,51,36.0,48,True
v1640,10,18.0,26,True
v1644,12,12.0,16,True
v1700,22,22.0,26,True
v1747,29,28.0,44,True
v1777,8,8.0,14,True
v1793,4,4.0,4,False
v1810,74,52.0,76,True
v1847,35,36.0,56,True
v1864,19,20.0,36,True
v1875,4,8.0,26,True
v2014,4,4.0,4,False
v2041,2,2.0,2,False
v2119,4,4.0,4,False
v2173,20,20.0,24,True
v2189,4,4.0,12,True
v2195,8,16.0,36,True
v2221,10,20.0,24,True
v2237,4,4.0,4,False
v2290,12,30.0,38,True
v2293,2,2.0,6,False
v2413,16,18.0,26,True
v2423,6,18.0,22,True
v2430,10,20.0,30,True
v2486,8,8.0,16,True
v2489,4,4.0,4,False
v2528,14,20.0,30,True
v2550,14,34.0,42,True
v2558,10,20.0,36,True
v2572,3,4.0,6,False
v2584,16,16.0,20,True
v2588,19,18.0,42,True
v2594,12,24.0,26,True
v2636,12,12.0,18,True
v2638,6,6.0,26,True
v2656,4,12.0,14,True
v2664,8,8.0,14,True
v2673,18,18.0,22,True
v2689,10,20.0,24,True
v2694,22,22.0,26,True
v2722,4,8.0,26,True
v2747,10,26.0,30,True
v2754,6,12.0,24,True
v2764,4,4.0,10,True
v2775,18,18.0,22,True
v2824,24,24.0,28,True
v2826,8,8.0,14,True
v2856,36,28.0,36,True
v2862,0,0.0,2,False
v2866,20,20.0,28,True
v2878,8,8.0,12,True
v2900,21,38.0,46,True
v2951,10,10.0,14,True
v2953,22,22.0,38,True
v2972,12,12.0,16,True
v3025,12,30.0,40,True
v3041,14,18.0,26,True
v3087,12,24.0,34,True
v3105,10,20.0,28,True
v3117,27,24.0,36,True
v3143,1,6.0,12,True
v3168,1,2.0,2,False
v3170,12,24.0,44,True
v3208,2,4.0,6,True
v3215,2,2.0,4,True
v3248,6,6.0,8,True
v3257,8,18.0,28,True
v3275,11,24.0,30,True
v3278,25,26.0,46,True
v3295,12,24.0,38,True
v3327,4,4.0,6,True
v3329,6,6.0,8,False
v3340,15,20.0,34,True
v3344,14,28.0,42,True
v3359,20,22.0,46,True
v3362,10,20.0,34,True
v3373,16,32.0,52,True
v3386,6,6.0,12,True
v3439,32,24.0,36,True
v3451,8,16.0,30,True
v3471,14,28.0,52,True
v3482,17,30.0,38,True
v3513,4,2.0,8,True
